usage_start_time,service,project_id,sku_description,cost,currency
2025-07-01 10:00:00,Cloud SQL,dev-app,db-f1-micro,17.8,USD
2025-07-01 06:00:00,BigQuery,data-pipeline,Storage,16.75,USD
2025-07-01 07:00:00,Cloud Storage,data-pipeline,Standard Storage,13.7,USD
2025-07-01 10:00:00,Cloud SQL,data-pipeline,db-n1-standard-1,18.55,USD
2025-07-01 02:00:00,Cloud SQL,prod-api,db-f1-micro,7.15,USD
2025-07-01 15:00:00,BigQuery,dev-app,Storage,11.17,USD
2025-07-02 07:00:00,Cloud SQL,dev-app,db-n1-standard-1,12.91,USD
2025-07-02 07:00:00,Compute Engine,test-env,n2-highmem-2,9.99,USD
2025-07-02 12:00:00,BigQuery,test-env,Storage,15.24,USD
2025-07-02 22:00:00,Compute Engine,prod-api,n2-highmem-2,2.24,USD
2025-07-02 12:00:00,Cloud SQL,data-pipeline,db-n1-standard-1,19.63,USD
2025-07-03 17:00:00,Cloud Functions,prod-api,Invocation,9.93,USD
2025-07-03 19:00:00,Cloud Storage,data-pipeline,Coldline Storage,6.48,USD
2025-07-03 20:00:00,Cloud Storage,prod-api,Nearline Storage,12.44,USD
2025-07-03 07:00:00,Cloud Storage,prod-api,Standard Storage,0.21,USD
2025-07-03 11:00:00,Cloud Functions,test-env,Compute Time,2.97,USD
2025-07-03 21:00:00,BigQuery,prod-api,Storage,12.86,USD
2025-07-03 15:00:00,Compute Engine,data-pipeline,n1-standard-1,13.87,USD
2025-07-03 08:00:00,Cloud SQL,data-pipeline,db-n1-standard-1,2.03,USD
2025-07-04 00:00:00,Cloud SQL,prod-api,db-f1-micro,0.25,USD
2025-07-04 02:00:00,BigQuery,test-env,On-Demand Analysis,15.64,USD
2025-07-04 04:00:00,Cloud Functions,data-pipeline,Compute Time,13.74,USD
2025-07-04 19:00:00,Cloud Storage,prod-api,Coldline Storage,3.11,USD
2025-07-04 12:00:00,Cloud SQL,test-env,db-n1-standard-1,19.55,USD
2025-07-04 00:00:00,Compute Engine,prod-api,n1-standard-1,10.34,USD
2025-07-04 02:00:00,Cloud SQL,data-pipeline,db-n1-standard-1,10.25,USD
2025-07-04 13:00:00,Cloud Storage,data-pipeline,Standard Storage,11.95,USD
2025-07-04 21:00:00,Compute Engine,prod-api,n2-highmem-2,2.73,USD
2025-07-05 16:00:00,BigQuery,data-pipeline,Storage,18.67,USD
2025-07-05 03:00:00,BigQuery,dev-app,Storage,0.8,USD
